2015-02-16,53,37,68,47,66,13,82,1895,1927,0.15,0.12,2.05
2015-02-19,51,37,64,47,67,20,88,1900,1986,0,0.12,1.3
2015-02-26,43,31,55,49,69,26,86,1974,1986,0,0.12,1.51
2015-03-01,54,49,59,50,69,28,84,1980,1975,0.22,0.11,3.32
2015-03-02,54,48,60,50,70,22,91,1980,1909,0.01,0.12,1.55
2015-03-21,65,64,66,54,74,30,87,1996,1907,1.01,0.1,1.38
2015-03-23,68,55,80,54,75,35,89,1989,1929,0,0.11,2.27
2015-03-24,67,53,80,54,75,32,87,1897,1907,0,0.11,1.46
2015-04-04,67,61,73,56,77,34,88,1987,1897,0,0.1,3.35
2015-04-05,62,57,67,57,78,38,91,1973,1982,0.02,0.1,2.61
2015-04-07,79,70,87,57,78,32,91,1971,1907,0,0.1,2.28
2015-04-08,78,71,84,57,78,35,92,1971,1986,0,0.1,3.26
2015-04-14,70,64,76,59,79,39,89,1980,1996,0.12,0.11,3.52
2015-04-15,71,60,81,59,80,38,90,1928,1944,0,0.1,3.05
2015-04-25,78,67,88,62,82,41,90,1910,1987,0.21,0.13,2.5
2015-04-27,72,66,78,63,82,47,93,1978,1933,0.02,0.13,2.72
2015-04-30,68,53,82,64,83,42,92,1908,1981,0,0.14,3.2
2015-05-01,71,57,84,64,83,45,94,1908,1947,0,0.15,4.11
2015-05-09,82,76,87,66,85,46,94,1984,1998,0,0.17,2.42
2015-05-12,74,69,79,67,85,50,92,1895,1967,0.56,0.16,5.27
2015-05-13,75,68,81,67,86,50,94,1895,1907,1.55,0.16,3.44
2015-05-14,80,72,87,67,86,47,93,1971,1995,0.05,0.16,2.44
2015-05-15,79,73,84,68,86,49,92,1890,2003,0.15,0.18,4.64
2015-05-17,78,71,85,68,87,52,95,1970,1894,0.98,0.17,4.2
2015-05-20,81,73,89,69,87,48,95,1894,2008,0.31,0.16,4.17
2015-05-27,76,65,86,70,89,50,98,1901,1928,1.41,0.17,3.99
2015-05-31,78,69,87,71,90,50,98,1889,1998,0,0.17,3.45
2015-06-02,79,68,90,71,90,55,100,1892,2011,0,0.17,4.03
2015-06-13,80,74,86,73,91,57,101,1979,1911,0.35,0.21,3.58
2015-06-15,83,75,90,73,92,55,100,1903,2011,0.14,0.21,5.68
2015-06-27,83,73,93,75,92,57,102,1974,1980,2.38,0.19,2.5
